PolicyName	Path	Type
AWSIoTDeviceTesterForGreengrassFullAccess	/	AWS managed
AWSIoTEventsFullAccess	/	AWS managed
AWSIoTEventsReadOnlyAccess	/	AWS managed
AWSIoTFullAccess	/	AWS managed
AWSIoTLogging	/service-role/	AWS managed
AWSIoTOTAUpdate	/service-role/	AWS managed
AWSIoTRuleActions	/service-role/	AWS managed
AWSIoTSiteWiseConsoleFullAccess	/	AWS managed
AWSIoTSiteWiseFullAccess	/	AWS managed
AWSIoTSiteWiseMonitorServiceRolePolicy	/aws-service-role/	AWS managed
AWSIoTSiteWiseReadOnlyAccess	/	AWS managed
AWSIoTThingsRegistration	/service-role/	AWS managed
AWSIQContractServiceRolePolicy	/aws-service-role/	AWS managed
AWSIQFullAccess	/	AWS managed
AWSIQPermissionServiceRolePolicy	/aws-service-role/	AWS managed
AWSKeyManagementServiceCustomKeyStoresServiceRolePolicy	/aws-service-role/	AWS managed
AWSKeyManagementServicePowerUser	/	AWS managed
AWSLakeFormationDataAdmin	/	AWS managed
AWSLambdaBasicExecutionRole	/service-role/	AWS managed
AWSLambdaDynamoDBExecutionRole	/service-role/	AWS managed
AWSLambdaENIManagementAccess	/service-role/	AWS managed
AWSLambdaExecute	/	AWS managed
AWSLambdaFullAccess	/	AWS managed
AWSLambdaInvocation-DynamoDB	/	AWS managed
AWSLambdaKinesisExecutionRole	/service-role/	AWS managed
AWSLambdaReadOnlyAccess	/	AWS managed
AWSLambdaReplicator	/aws-service-role/	AWS managed
AWSLambdaRole	/service-role/	AWS managed
AWSLambdaSQSQueueExecutionRole	/service-role/	AWS managed
AWSLambdaVPCAccessExecutionRole	/service-role/	AWS managed
AWSLicenseManagerMasterAccountRolePolicy	/aws-service-role/	AWS managed
AWSLicenseManagerMemberAccountRolePolicy	/aws-service-role/	AWS managed
AWSLicenseManagerServiceRolePolicy	/aws-service-role/	AWS managed
AWSMarketplaceFullAccess	/	AWS managed
AWSMarketplaceGetEntitlements	/	AWS managed
AWSMarketplaceImageBuildFullAccess	/	AWS managed
AWSMarketplaceManageSubscriptions	/	AWS managed
AWSMarketplaceMeteringFullAccess	/	AWS managed
AWSMarketplaceMeteringRegisterUsage	/	AWS managed
AWSMarketplaceProcurementSystemAdminFullAccess	/	AWS managed
AWSMarketplaceRead-only	/	AWS managed
AWSMarketplaceSellerFullAccess	/	AWS managed
AWSMarketplaceSellerProductsFullAccess	/	AWS managed
AWSMarketplaceSellerProductsReadOnly	/	AWS managed
AWSMigrationHubDiscoveryAccess	/service-role/	AWS managed
AWSMigrationHubDMSAccess	/service-role/	AWS managed
AWSMigrationHubFullAccess	/	AWS managed
AWSMigrationHubSMSAccess	/service-role/	AWS managed
AWSMobileHub_FullAccess	/	AWS managed
AWSMobileHub_ReadOnly	/	AWS managed
AWSNetworkManagerFullAccess	/	AWS managed
AWSNetworkManagerReadOnlyAccess	/	AWS managed
AWSNetworkManagerServiceRolePolicy	/aws-service-role/	AWS managed
AWSOpsWorksCloudWatchLogs	/	AWS managed
AWSOpsWorksCMInstanceProfileRole	/	AWS managed
AWSOpsWorksCMServiceRole	/service-role/	AWS managed
AWSOpsWorksFullAccess	/	AWS managed
AWSOpsWorksInstanceRegistration	/	AWS managed
AWSOpsWorksRegisterCLI_EC2	/	AWS managed
AWSOpsWorksRegisterCLI_OnPremises	/	AWS managed
AWSOpsWorksRole	/service-role/	AWS managed
AWSOrganizationsFullAccess	/	AWS managed
AWSOrganizationsReadOnlyAccess	/	AWS managed
AWSOrganizationsServiceTrustPolicy	/aws-service-role/	AWS managed
AWSPriceListServiceFullAccess	/	AWS managed
AWSPrivateMarketplaceAdminFullAccess	/	AWS managed
AWSPrivateMarketplaceRequests	/	AWS managed
AWSQuicksightAthenaAccess	/service-role/	AWS managed
AWSQuickSightDescribeRDS	/service-role/	AWS managed
AWSQuickSightDescribeRedshift	/service-role/	AWS managed
AWSQuickSightIoTAnalyticsAccess	/	AWS managed
AWSQuickSightListIAM	/service-role/	AWS managed
AWSQuickSightSageMakerPolicy	/service-role/	AWS managed
AWSResourceAccessManagerFullAccess	/	AWS managed
AWSResourceAccessManagerReadOnlyAccess	/	AWS managed
AWSResourceAccessManagerResourceShareParticipantAccess	/	AWS managed
AWSResourceAccessManagerServiceRolePolicy	/aws-service-role/	AWS managed
